,REVIEWS,LABEL
0,no_way plug in US unless go converter,0
1,Good case Excellent value,1
2,Great jawbone,1
3,Tied charger conversations lasting 45 minutes MAJOR PROBLEMS ! !,0
4,mic great,1
5,jiggle plug get line right get decent volume,0
6,several dozen several hundred contacts imagine fun sending one one,0
7,Razr owner must !,1
8,Needless say wasted money,0
9,waste money time !,0
10,sound quality great,1
11,impressed going original battery extended battery,1
12,two seperated mere 5+ ft started notice excessive static garbled sound headset,0
13,good quality though,1
14,design odd ear clip not_comfortable,0
15,Highly recommend one blue tooth phone,1
16,advise EVERYONE not_FOOLED !,0
17,Far Good !,1
18,Works great !,1
19,clicks place way makes wonder long mechanism last,0
20,went Motorola's website followed directions could not_get pair,0
21,bought use Kindle Fire absolutely loved !,1
22,commercials misleading,0
23,yet run new battery two bars three days without charging,1
24,bought mother problem battery,0
25,Great Pocket PC phone combination,1
26,owned phone 7 months now can say best mobile phone,1
27,didn't think instructions provided helpful,0
28,People couldnt hear talk pull earphone talk phone,0
29,Doesn't hold charge,0
30,simple little phone use breakage unacceptible,0
31,product ideal people like whose ears sensitive,1
32,unusable moving car freeway speed,0
33,two years left contract hate phone,0
34,Car charger well AC charger included make sure never run juice Highy recommended,1
35,need least 3 mins get phone book time first turn phone Battery life short,0
36,kept well,1
37,Poor Talk Time Performance,0
38,case great works fine 680,1
39,worthless product,0
40,great camera thats 2MP pics nice clear great picture quality,1
41,not_impressed product,0
42,Nice headset priced right,1
43,hear garbage audio,0
44,Excellent bluetooth headset,1
45,features want,1
46,right mind gonna buy battery ?,0
47,ARGUING VERIZON REGARDING DROPPED CALLS RETURNED PHONES TWO DAYS,0
48,case seems well made,1
49,Disappointed battery,0
50,not_loud enough doesn't turn like,0
51,good protection not_make phone bulky,1
52,usable keyboard actually turns PDA real-world useful machine instead just neat gadget,1
53,phone pretty sturdy never large problems,1
54,love thing !,1
55,Everything fine reasonable price e,1
56,DISAPPOINTED,0
57,even dropped phone stream submerged 15 seconds still works great !,1
58,happy 510 no_complaints one regarding sound quality end,1
59,buttons bad,0
60,Essentially can forget Microsoft's tech support,0
61,really recommend faceplates since looks nice elegant cool,1
62,headphones great find - think perhaps best purchase made last several years - seriously,1
63,Buy different phone - not,0
64,hold phone particular angle party hear clearly,0
65,one big drawback MP3 player buttons phone's front cover let pause skip songs lock seconds,0
66,week later activated it suddenly died,0
67,feels comfortable headsets wear glasses gets way sometimes,1
68,Great iPODs,1
69,device great several situations:1,1
70,Mic Doesn't work,0
71,Even BMW 3 series fairly quiet trouble hearing person saying,0
72,Great choice !,1
73,Nice docking station home work,1
74,beautiful phone,1
75,Love product,1
76,not_Buy D807 wrongly advertised D807,0
77,great little item,1
78,love phone handy lot features,1
79,purchased within 2 days no_longer working ! ! ! ! ! ! ! ! !,0
80,wear everyday holds well,1
81,not_good bargain,0
82,Well packaged arrived time works intended,1
83,battery runs quickly,0
84,item worked great broke 6 months use,0
85,headsets easy use everyone loves,1
86,phone works great,1
87,construction headsets poor,0
88,Product excellent works better verizon one Boy cheaper !,1
89,phone loads super !,1
90,product costs much one expect work far better greater ease thing,0
91,Made sturdy,1
92,Worked great !,1
93,ear buds play music one ear,0
94,Dont waste money,0
95,Will order !,1
96,plan use car forget,0
97,found product waaay big,0
98,Best found far tried 2 bluetooths one best quality listener well ease using,1
99,disappointed decision,0
100,Integrated seamlessly Motorola RAZR phone,1
101,Buyer Beware could flush money right toilet,0
102,Definitely bargain,1
103,price good free shipping good purchase,1
104,received supposedly new motorola 375 apparently not_match phone charger,0
105,Pros:-Good camera - nice pictures also cool styles like black white,1
106,huge design flaw unless not_using correctly don't think case,0
107,love 350 headset Jabra350 bluetooth headset great reception good ear piece comfortable fit,1
108,camera although rated impressive 1 3 megapixels renders images fall well expectations relatively high resolution,0
109,purcashed car charger not_work,0
110,Sound quality end excellent use headset call wife ask wife use headset call ! 2,1
111,phone slim light display beautiful,1
112,little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,1
113,Great product fast shipping !,1
114,Absolutely great,1
115,keyboard nice compromise full QWERTY basic cell phone number keypad,1
116,got phone around end may completely unhappy,0
117,comfortable ear,1
118,winner us,1
119,Setup couldn't simpler,1
120,tried several different earpieces cell phone Jabra one first one found fits ear comfortably,1
121,Could not_get strong enough signal,0
122,Iam pleased purchase,1
123,Bad Quality,0
124,Gets job done,1
125,Great audio !,1
126,Basically service bad,0
127,not_work cell phone plug set charger !,0
128,bluetooth weeks really like,1
129,BT headset disapoinment,0
130,small don't even realize getting used,1
131,accompanied software almost brilliant,1
132,Headset works great packaged nicely avoid damage,1
133,! definitly recommend ! !,1
134,Buyer--Be Careful ! ! ! ! !,0
135,majority Logitech earbud headsets failed,0
136,good stuff price,1
137,headset works just peachy-keen,1
138,house getting dropped coverage upstairs no_coverage basement,0
139,Voice recognition tremendous !,1
140,waste,0
141,several different 2 minute calls experienced 5 drops area 5 bars,0
142,not_happy item,0
143,disappointed,0
144,phone takes FOREVER charge like 2 5 hours literally,0
145,got phone reccomendation relative glad,1
146,waste time !,0
147,reception very poor,0
148,Items stated included description not_INCLUDED,0
149,3 months screen just went black sudden,0
150,Hoping,0
151,Audio Quality poor poor,0
152,absolutely no_problem headset linking 8530 Blackberry Curve !,1
153,know sounds funny seemed like sketchy technology wouldn't work well Well one works great,1
154,bought $5 wired headphones sound better,0
155,phone fast sending kind messages web browsing significantly faster previous phones used,1
156,Nice quality build unlike cheap s,1
157,item fantastic works perfectly !,1
158,just love colors !,1
159,W810i just SUPERB,1
160,can whine Internet goes use thing less like,0
161,Great charger,1
162,essentially communications tool not_communicate,0
163,Works like charm work the one got phone,1
164,still maintain monkeys shouldn't make headphones just obviously don't share enough DNA copy design humans,0
165,Great Value,1
166,Doesn't work bougth L7c not_working,0
167,look sharp screen nice clear great graphics,1
168,doesn't last long,0
169,One thing hate mode set button side,0
170,EXCELLENT SERVICE ! ! ! ! ! ! ! !,1
171,Thank wasting money,0
172,can ? audio quality poor,0
173,iGo chargers tips really great,1
174,file browser offers options one needs Handsfree great,1
175,Superb Phone Great Network,1
176,connected wife's bluetooth Motorola HS850 phone worked like charm whether phone pocket case,1
177,put latest OS v1 15g now likes slow crawl lock every,0
178,recognizes Phone storage device,0
179,like loud buzzing override conversations phone !,0
180,Don't buy product,0
181,bluetoooth headset time now still not_comfortable way fits ear,0
182,sound quality good functionality awesome,1
183,phone thorn side really abhor,0
184,recently problems could not_stay connected 10 minutes disconnected,0
185,Incredible !,1
186,Design Flaw ?,0
187,Great phone !,1
188,Waste 13 bucks,0
189,check voice mail night keypad backlight turns seconds first message lost,0
190,replacement died weeks,0
191,ring tone Overall good phone buy,1
192,Lately extremely nice helpful phone,1
193,problems wit hit dropping signal,0
194,not_impressed,0
195,Light weight hardly notice,1
196,love thin,1
197,Bad Choice,0
198,pleather case doesn't fit,0
199,useless phone simply deaf,0
200,color even prettier thought graphics incredibly sharp,1
201,think good investment,1
202,makes strange ticking noises ends call,0
203,best electronics available FM Transmitters,1
204,Battery lasts hours,0
205,great headset impressed - H500,1
206,1 2 mega pixel camera part phone reasonably good7,1
207,nearly 2 years worked great,1
208,Good transmit audio,1
209,sending back,0
210,not_bother contacting company dollar product learned lesson not_bought form online anyway,0
211,hate earbugs avoid phone means,0
212,Great price also !,1
213,range decent able roam around house phone living room no_reception sound quality issues,1
214,fast service,1
215,highly recommend,1
216,recommend,1
217,also didn't like button felt like crack use,0
218,WORST PHONE EVER,0
219,still infatuated phone,1
220,Freezes frequently4,0
221,kind embarrassing use looks mostly embarrassing child-like company,0
222,Simple lightweight great fit,1
223,expected better consumer experience Motorola,0
224,horrible tick sound background calls never experienced,0
225,certainly comfortable functionality decent,1
226,usually don't like headbands one lightweight doesn't mess hair,1
227,bit disappointed,0
228,phone year now will tell not_great,0
229,ordered sony Ericsson W810i think worked thats first used,0
230,battery completely useless,0
231,big waste time,0
232,Don't waste $$$ one,0
233,Great sound service,1
234,Really pleased product far,1
235,One favorite purchases ever,1
236,best bluetooth market,1
237,Authentic leather nice shine comfort recommend case ! !,1
238,excited get headset thought really cute,1
239,not_make mistake,0
240,Big Disappointment calendar sync,0
241,phone unusable not_new,0
242,Worst Customer Service Ever,0
243,no_additional ear gels provided no_instructions whatsoever,0
244,defeats purpose bluetooth headset,0
245,Worth every penny,1
246,Excellent wallet type phone case,1
247,Nice headphones price work great !,1
248,Internet excrutiatingly slow,0
249,comfortable wear well probably important aspect using case,1
250,fits like glove strong secure durable,1
251,O gosh best phone ever,1
252,attractive appears good quality,1
253,love features form factor,1
254,product strong rubber petroleum smell unbearable caused return,0
255,poor quality service,0
256,cable looks thin flimsy scary,0
257,Great Earpiece,1
258,Excellent hands free tool,1
259,Great using home stereo,1
260,Good product - incredible value,1
261,month worked flawlessly far,1
262,Works great,1
263,Absolutel junk,0
264,one didn't work either,0
265,Battery life real good,1
266,Returned 8 hours later,0
267,great item,1
268,Don't waste money !,0
269,Love headset !,1
270,not_will drain player may also potentially fry,0
271,Worked perfectly !,1
272,Unreliable - giving,0
273,gave 5 stars sound quality,1
274,Avoid one can,0
275,Reversible plug works great,1
276,wasted little money earpiece,0
277,good phone,1
278,Best rotating feature helpful,1
279,Comfort whole family,1
280,Good product good seller,1
281,love bluetooth !,1
282,First doesn't wear well,0
283,impressed headset Plantronics,1
284,got it small adorable,1
285,Great phone !,1
286,wouldn't recommend buying product,0
287,Piece Junk,0
288,Poorly contstruct hinge,0
289,item great installed let charged overnite working good every since no_problems,1
290,Great Phone,1
291,Don't buy,0
292,Excellent Phone,1
293,not_PURCHASE PHONE,0
294,voice recognition thru handset excellent,1
295,hands best phone ever,1
296,Works great cat attacked phone scratched protective strip instead destroying screen,1
297,one works priced right,1
298,Customer service terrible,0
299,Battery life still not_long enough Motorola Razor V3i,0
300,Sending back,0
301,Now know made wise decision,1
302,Someone shouldve invented sooner,1
303,Good price,1
304,Everything worked first try device certainly engineered clever way construction feels good,1
305,received quickly works great ! !,1
306,working great,1
307,many people complained found headset's microphone weak,0
308,5-year old Nokia 2160 Tracfone holds charge lot better,0
309,not_care consumer one bit,0
310,good battery got really fast,1
311,instruction manual lacking,0
312,Also slim enough fit alarm clock docking station without removing case,1
313,Phone now holds charge like new,1
314,battery unreliable well service use antena,0
315,uncomfortable sound quality quite poor compared phone Razr previous wired headset plugged LG,0
316,gotten lot compliments,1
317,definitely must state not_allow cell phone usage driving,1
318,want money back,0
319,love device,1
320,also happy price,1
321,ordered product first unhappy immediately,0
322,Ngage still lacking earbuds,0
323,able voice dialing car no_problem,1
324,2-3 bars cell phone home cant not_hear anything,0
325,good item low price,1
326,However-the riingtones not_best neither games,0
327,plug not_work well,0
328,AMAZON SUCKS,0
329,Rip off---- charge shipping,0
330,comfortable,1
331,battery working well replacement original came phone 2 years ago,1
332,reception excellent !,1
333,fits comfortably either ear sound clear loud charge lasts couple days,1
334,clear quality sound don't mess sound iPod since sound buttons headset,1
335,1 long lasting battery don't recharge frequentyly flip phones 2,0
336,Obviously problem adhesive,0
337,disappointing,0
338,inexpensive piece still expected better quality,0
339,practically useless not_add kind boost reception bought,0
340,Excellent sound quality,1
341,not_happy,0
342,PIECE JUNK BROKE PHONE 2 DAYS ! ! !,0
343,New Battery works great phone,1
344,Worst customer service,0
345,dropped phone times can say even concrete phone still great knock wood !,1
346,Reception terrible full static,0
347,Good audio quality,1
348,little device transformed organizational capability made life whole lot easier,1
349,sitting vehicle cradle belt headset lost signal,0
350,JERKS phone,0
351,Works like charm Works advertised,1
352,Comfortable Nice Range Good Battery Life,1
353,network coverage Los Angeles horrible,0
354,Excellent starter wireless headset,0
355,loudspeaker option great bumpers lights appealing,0
356,thing think could improve sound leaks headset,0
357,First reception sucks never 2 bars ever,0
358,phone gets EXTREMELY HOT !,0
359,microphone also works well according people called applifies everything,1
360,Nice design quality,1
361,Also phone dropped case not_going save specially dropped face,0
362,light easy use clear reception transmission,1
363,bad fit way big,0
364,definitely not_good S11,1
365,awesome device,1
366,Waste money,0
367,ordered motorola data cable got well finished working product,1
368,Love Phone,1
369,looking headset long time now got couldn't happier,1
370,drivng along headset starts ringing no_reason,0
371,Display excellent camera good year,1
372,Battery life also great !,1
373,worst phone ever months,0
374,not_good item worked started problems auto reverse tape player,0
375,embarassing also ears hurt try push ear plug ear,0
376,Protects phone sides,1
377,average phone bad battery life operates weak network,0
378,Clear Skype Calls Long Battery Life Long Range,1
379,Soyo technology sucks,0
380,Great Hands Free Device,1
381,can even take self portraits outside exterior display cool,1
382,problem others mentioned,0
383,trying many many handsfree gadgets one finally works well,1
384,Magical Help,1
385,worst piece crap ever along Verizon customer service,0
386,Poor sound quality,0
387,best phone market :,1
388,worked well,1
389,company shipped product promptly works well,1
390,Exactly wanted,1
391,picture resolution far comparably-priced phones offering today,0
392,great deal,1
393,Excellent product satisfied purchase,1
394,highly recommend encourage people give try,1
395,Better expect,1
396,Using earpieces left right thing will not_stay ear,0
397,Great product price,1
398,Sounds good reasonably priced effective simple !,1
399,Still Waiting sure item work well ever recieve !,0
400,disappointment,0
401,prompt service,1
402,Excellent product price,1
403,pleased headset,1
404,don't waste money time,0
405,especially love long battery life,1
406,stupid to keep buying new chargers car chargers cradles headphones car kits every time new phone comes,0
407,Works great,1
408,Plantronics Bluetooth Excelent Buy,1
409,came Verizon cingulair nicer cell phones first thing noticed really bad service,0
410,looking new earpiece,0
411,highly recommend device everyone !,1
412,Jawbone Era awesome !,1
413,received WHITE colored battery goes DEAD couple hoursTHe original used last week - still lasts longer thereplacement,0
414,year battery went completely dead headset,0
415,used several phone two years one best,1
416,Awesome New Look Fall 2000 !,1
417,first phone cheaply made,0
418,Att not_clear sound distorted yell talk,0
419,plastic breaks really easy clip,0
420,Price good,1
421,Don't make mistake,0
422,Oh forgot also mention weird color effect phone,0
423,using iriver SPINN case fits fine,1
424,Also area unit broke - not_fond magnetic strap,0
425,Overall psyched phone appointments contacts gets great reception,1
426,every thing phone work perfectly like,1
427,Another note phone's appearance really looks rather bland especially black model,0
428,REALLY EASY,1
429,Sanyo survived dozens drops blacktop without ill effect,1
430,Fantastic earphones,1
431,finds cell phone right away enter car,1
432,Low Quality,0
433,highly recommend modest priced cellular phone,1
434,get better reception clarity phone,1
435,Warning - Stay away,0
436,wish could return unit get back money,0
437,Awsome Device Works Great ! !,1
438,used talk 1 - 1 1 2 hours battery literally drained dying,0
439,don't find bad unit comes one earpad not_recommend anyone,0
440,Displeased,0
441,might gotten defect not_risk buying built quality alone,0
442,made case small difficult install,0
443,Restored phone like new performance,1
444,recommend purchasing Jabra JX-10 series 2 works flawlessly Moto Q go figure,1
445,searched Internet found one best value,1
446,not_fit,0
447,happy product,1
448,screen size big key pad lit well enough camera quality excellent camera phone,1
449,really nothing_bad can say headset,0
450,glad found product amazon hard find wasn't high priced,1
451,Portable works,1
452,colleague now get great reception little expensive performance great,1
453,even fully charged went bed turned blue tooth wi-fi noticed 20 % left morning,0
454,also problems phone reading memory card always turn,0
455,not_good wearing hat sunglasses,0
456,Timely shipment quality product,1
457,Nice solid keyboard,1
