,REVIEW,LABEL
0,no_way plug us unless go converter,0
1,good case excellent value,1
2,great jawbone,1
3,tied charger conversations lasting 45 minutes major problems ! !,0
4,mic great,1
5,jiggle plug get line right get decent volume,0
6,several dozen several hundred contacts imagine fun sending one one,0
7,razr owner must !,1
8,needless say wasted money,0
9,waste money time !,0
10,sound quality great,1
11,impressed going original battery extended battery,1
12,two seperated mere 5 ft started notice excessive static garbled sound headset,0
13,good quality though,1
14,design odd ear clip not_comfortable,0
15,highly recommend one blue tooth phone,1
16,advise everyone not_fooled !,0
17,far good !,1
18,works great !,1
19,clicks place way makes wonder long mechanism last,0
20,went motorola's website followed directions could not_get pair,0
21,bought use kindle fire absolutely loved !,1
22,commercials misleading,0
23,yet run new battery two bars three days without charging,1
24,bought mother problem battery,0
25,great pocket pc phone combination,1
26,owned phone 7 months now can say best mobile phone,1
27,didn't_think instructions provided helpful,0
28,people couldnt hear talk pull earphone talk phone,0
29,doesn't_hold charge,0
30,simple little phone use breakage unacceptible,0
31,product ideal people like whose ears sensitive,1
32,unusable moving car freeway speed,0
33,two years left contract hate phone,0
34,car charger well ac charger included make sure never run juice highy recommended,1
35,need least 3 mins get phone book time first turn phone battery life short,0
36,kept well,1
37,poor talk time performance,0
38,case great works fine 680,1
39,worthless product,0
40,great camera thats 2mp pics nice clear great picture quality,1
41,not_impressed product,0
42,nice headset priced right,1
43,hear garbage audio,0
44,excellent bluetooth headset,1
45,features want,1
46,right mind gonna buy battery ?,0
47,arguing verizon regarding dropped calls returned phones two days,0
48,case seems well made,1
49,disappointed battery,0
50,not_loud enough doesn't_turn like,0
51,good protection not_make phone bulky,1
52,usable keyboard actually turns pda realworld useful machine instead just neat gadget,1
53,phone pretty sturdy never large problems,1
54,love thing !,1
55,everything fine reasonable price e,1
56,disappointed,0
57,even dropped phone stream submerged 15 seconds still works great !,1
58,happy 510 no_complaints one regarding sound quality end,1
59,buttons bad,0
60,essentially can forget microsoft's tech support,0
61,really recommend faceplates since looks nice elegant cool,1
62,headphones great find think perhaps best purchase made last several years seriously,1
63,buy different phone,0
64,hold phone particular angle party hear clearly,0
65,one big drawback mp3 player buttons phone's front cover let pause skip songs lock seconds,0
66,week later activated it suddenly died,0
67,feels comfortable headsets wear glasses gets way sometimes,1
68,great ipods,1
69,device great several situations 1,1
70,mic doesn't_work,0
71,even bmw 3 series fairly quiet trouble hearing person saying,0
72,great choice !,1
73,nice docking station home work,1
74,beautiful phone,1
75,love product,1
76,not_buy d807 wrongly advertised d807,0
77,great little item,1
78,love phone handy lot features,1
79,purchased within 2 days no_longer working ! ! ! ! ! ! ! ! !,0
80,wear everyday holds well,1
81,not_good bargain,0
82,well packaged arrived time works intended,1
83,battery runs quickly,0
84,item worked great broke 6 months use,0
85,headsets easy use everyone loves,1
86,phone works great,1
87,construction headsets poor,0
88,product excellent works better verizon one boy cheaper !,1
89,phone loads super !,1
90,product costs much one expect work far better greater ease thing,0
91,made sturdy,1
92,worked great !,1
93,ear buds play music one ear,0
94,dont_waste money,0
95,will order !,1
96,plan use car forget,0
97,found product waaay big,0
98,best found far tried 2 bluetooths one best quality listener well ease using,1
99,disappointed decision,0
100,integrated seamlessly motorola razr phone,1
101,buyer beware could flush money right toilet,0
102,definitely bargain,1
103,price good free shipping good purchase,1
104,received supposedly new motorola 375 apparently not_match phone charger,0
105,pros good camera nice pictures also cool styles like black white,1
106,huge design flaw unless not_using correctly don't_think case,0
107,love 350 headset jabra350 bluetooth headset great reception good ear piece comfortable fit,1
108,camera although rated impressive 1 3 megapixels renders images fall well expectations relatively high resolution,0
109,purcashed car charger not_work,0
110,sound quality end excellent use headset call wife ask wife use headset call ! 2,1
111,phone slim light display beautiful,1
112,little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,1
113,great product fast shipping !,1
114,absolutely great,1
115,keyboard nice compromise full qwerty basic cell phone number keypad,1
116,got phone around end may completely unhappy,0
117,comfortable ear,1
118,winner us,1
119,setup couldn't simpler,1
120,tried several different earpieces cell phone jabra one first one found fits ear comfortably,1
121,could not_get strong enough signal,0
122,iam pleased purchase,1
123,bad quality,0
124,gets job done,1
125,great audio !,1
126,basically service bad,0
127,not_work cell phone plug set charger !,0
128,bluetooth weeks really like,1
129,bt headset disapoinment,0
130,small don't_even realize getting used,1
131,accompanied software almost brilliant,1
132,headset works great packaged nicely avoid damage,1
133,! definitly recommend ! !,1
134,buyerbe careful ! ! ! ! !,0
135,majority logitech earbud headsets failed,0
136,good stuff price,1
137,headset works just peachykeen,1
138,house getting dropped coverage upstairs no_coverage basement,0
139,voice recognition tremendous !,1
140,waste,0
141,several different 2 minute calls experienced 5 drops area 5 bars,0
142,not_happy item,0
143,disappointed,0
144,phone takes forever charge like 2 5 hours literally,0
145,got phone reccomendation relative glad,1
146,waste time !,0
147,reception very poor,0
148,items stated included description not_included,0
149,3 months screen just went black sudden,0
150,hoping,0
151,audio quality poor poor,0
152,absolutely no_problem headset linking 8530 blackberry curve !,1
153,know sounds funny seemed like sketchy technology wouldn't work well well one works great,1
154,bought 5 wired headphones sound better,0
155,phone fast sending kind messages web browsing significantly faster previous phones used,1
156,nice quality build unlike cheap s,1
157,item fantastic works perfectly !,1
158,just love colors !,1
159,w810i just superb,1
160,can whine internet goes use thing less like,0
161,great charger,1
162,essentially communications tool not_communicate,0
163,works like charm work the one got phone,1
164,still maintain monkeys shouldn't make headphones just obviously don't_share enough dna copy design humans,0
165,great value,1
166,doesn't_work bougth l7c not_working,0
167,look sharp screen nice clear great graphics,1
168,doesn't_last long,0
169,one thing hate mode set button side,0
170,excellent service ! ! ! ! ! ! ! !,1
171,thank wasting money,0
172,can ? audio quality poor,0
173,igo chargers tips really great,1
